source page,source page title,field-0,field-2,field-3,text
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",Mahi_trading106,schedule42 mins  14 secs ago,schedule,DAILY LEVELS WITH THE HIGHEST ACCURACY IN ALL SEGMENTS MORE INFORMATION PINGG ON WHTSZAP EiGHT 44549 TW0 056..
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",ksksl,schedule43 mins  58 secs ago,schedule,#Reliance Industries Ltd Chairman #MukeshAmbani expressed confidence in the company s future and asserted the group s potential to rank among the world s top 10 business conglomerates
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",srinj4567,schedule1 hour  54 mins ago,schedule,now RIL 1yr returns have become zero
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",bhanunadh,schedule2 hours  8 mins ago,schedule,"this share is not performed in recent months compared to others.see the some of the non performed stocks that are going superb like bhel,hal,pfc,rec and auto stocks..even idea..better avoid until results"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",NKS-MNGLR,schedule2 hours  18 mins ago,schedule,It has become crap stock due to option trading. Debt ridden Voda Idea is much much better than highly profit making Reliance. Lost all its fame.
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",sjm25,schedule2 hours  33 mins ago,schedule,no strength in RIL its like paper house
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",NKS-MNGLR,schedule2 hours  54 mins ago,schedule,I think recent days Reliances volumes have reduced drastically and not able to take index on its side. Its lookimg at HDFC Bank and ICICI Bank now. Lost great pride.  Awaiting for sharp reversal from 2600 level to atleast 2625 levels. 
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",vikworst,schedule2 hours  56 mins ago,schedule,Buy in bulk and seat tight
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",SUBBU_IYER,schedule3 hours  36 mins ago,schedule,"Even is market doesnot break 21500, the stream is lost and profit booking is happening at every increase. Better to book profit and keep cash and wait for decent correction to re enter."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",ABN_0605,schedule3 hours  38 mins ago,schedule,Sell reliance its at 52 week high...best time to book profit
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",ABN_0605,schedule3 hours  41 mins ago,schedule,Its time to book profit...Nifty will fall more and will touch 21000 soon and reliance as well will touch 2400
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",worldinvestor,schedule8 hours  3 mins ago,schedule,Reliance and HDFC Bank will lead the next leg of the rally to Nifty 24000 so buy Reliance for a target of Rs.3300 and HDFC Bank for a target of Rs.2300 as earnings growth visibility is robust.
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",srinj4567,schedule5 hours  22 mins ago,schedule,"RILs 25xx days are over. If it still runs in 25xx range, it will lose its credibility."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",mxlq,schedule5 hours  46 mins ago,schedule,Sell in CASH or FUTURE market.  - My target for Reliance is Rs 2500 for the intraday with a stoploss of Rs 2640
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",Latha.Broker,schedule6 hours  29 mins ago,schedule,"Techniaclly looking weak and sellers may dominate, keep selling for more downside - My target for Reliance is Rs 2500 for the intraday with a stoploss of Rs 2640"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",soniaditya,schedule6 hours  34 mins ago,schedule,"Bro, any target of 2640 or above in Reliance today or tomorrow."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",srinj4567,schedule7 hours  47 mins ago,schedule,ive consistently started investing in RIL 1.8yrs back starting at level of Rs2670. Seems it will touch that level this month.
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",shaskris,schedule8 hours  21 mins ago,schedule,4800Rs Target for 2 years.
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule9 hours  0 mins ago,schedule,"Institutional investors pumped in record $11 billion in equities in December India%u2019s equity markets saw a record flow from institutional investors in December. Foreign portfolio investors and domestic funds together invested Rs 90,029 crore ($11 billion) in equities during the month compared with Rs 27,025 crore in November. Investments in December was five times the monthly average of Rs 17,421 crore in the past two years. Why it%u2019s important: The massive inflows resulted in a sharp and sustained rally that saw benchmark indices breach record highs in December. Whether the institutional investors continue to pour in money remains to be seen."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",BangJackpot,schedule9 hours  13 mins ago,schedule,"Positive Vibes See in Reliance Industries, RattanIndia Power,  Innova Cabtab, SBFC Finance, Future Consumer."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",bnssahu,schedule12 hours  6 mins ago,schedule,BELOW 2640 ::::good point to catch profit ::: be alert decide yourself
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule22 hours  54 mins ago,schedule,the fpi investment in debt in 2023 is also the highest since 2017 when it was about rs 1.49 lakh crore in positive inflows
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule22 hours  55 mins ago,schedule,"fpi investment in debt remained positive in all months of 2023 except in march, which experts attributed to year-end outflows."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule22 hours  55 mins ago,schedule,"fpis pour rs 68,663 cr in debt instruments in 2023, turn positive after 3 years"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule23 hours  5 mins ago,schedule,reliance industries subscribes to non-convertible redeemable preference shares of alok industries
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule23 hours  6 mins ago,schedule,"relianc industries has subscribed to 3300,00,00,000 9% non-convertible redeemable preference shares of re 1 each of alok industries for cash at par, aggregating rs 3,300 crore. the company is a promoter and holds 40.01% of equity share capital of alok industries."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",dreamnifty_22,schedule5:23 PM Jan 2nd,schedule,powergrid bags 20-gw transmission system project in rajasthan
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",San_Mum11,schedule4:30 PM Jan 2nd,schedule,hold reliance for all time high.... good going.. will continue momentum in upward direction
